DESTINO;ORIGEN;CANTI;FOBDOL;FOBPES
AUS;BOG;500;138,35;560244,27
AUS;BOG;226;1404,86;5784806,07
AUS;BOG;477;12681,12;51683810,15
AUS;BOG;1;61,58;249060,92
AUS;BOG;208;1299,65;5267813,18
AUS;BOG;349;1208,54;4840275,21
AUS;BOG;128,67;194,83;788264,76
AUS;BOG;1;96,3;389486,31
AUS;BOG;1422;37831,36;153016356,9
AUS;BOG;40;493,93;1994089,25
AUS;BOG;558;14094,2;57120488,78
AUS;BOG;5178;76780,07;310114669,6
AUS;BOG;71;1827,56;7378206,95
AUS;BOG;169;2034,06;8211886,69
AUS;BOG;22;73,1;295118,58
AUS;BOG;358;3013,3;12165264,62
AUS;BOG;30;879,9;3623173,02
AUS;BOG;467;9275,63;38194354,4
AUS;BOG;211;2356,87;9704907,16
AUS;BOG;10;137,4;565773,35
AUS;BOG;1008;9478,04;39027820,08
AUS;BOG;293,2;13824;56205480,96
AUS;BOG;22;201,71;816342,52
AUS;BOG;25600;9432,35;38048496,4
AUS;BOG;1216;790,9;3236623,79
AUS;BOG;600;192;775140,48
AUS;BOG;15000;11550;47266411,5
AUS;BOG;20;12893,72;53092599,78
AUS;BOG;127,12;2436;9826409,88
AUS;BOG;7,5;114;459856,62
AUS;BOG;83;3313,36;13510026,59
AUS;BOG;1;2800;11331908
AUS;BOG;27150;6555;26614283,25
AUS;BOG;480;624;2533533,6
AUS;BOG;2360;4118,8;16777720,53
AUS;BOG;1080;1911,6;7761382,74
AUS;BOG;50;175,5;712556,32
AUS;BOG;23400;3372;13690825,8
AUS;BOG;1700;357;1449473,55
AUS;BOG;75;150,75;612067,61
AUS;BOG;112;988;4011428,2
AUS;BOG;4767;1288,8;5109357,09
AUS;BOG;9000;2428;9638288,16
AUS;BOG;102575;32396,65;130552929,4
AUS;BOG;18000;3699,5;14705845,45
AUS;BOG;340;459;1863608,85
AUS;BOG;33;3,14;12707,89
AUS;BOG;30;3630;14538367,8
AUS;BOG;5700;1667;6662188,95
AUS;BOG;8250;1740;6916656,6
AUS;BOG;1400;376;1517983,44
AUS;BOG;5400;810;3293727,3
AUS;BOG;1185,98;7797,5;32099110,52
AUS;BOG;44,1;3341,22;13281650,2
AUS;BOG;32,9;1356,15;5390818,3
